state,year,name,topic,subtopic,title,relevant_text,description
Arizona,2020,Ariz. Rev. Stat. 10-2085,Other,,Expanded use for broadband; just compensation; notice,"A. For the purposes of providing broadband service, if a cooperative, directly or through its affiliate, expands the use of an existing easement or other property right that is owned, held or used by the cooperative to provide electricity or other services and the expanded use reduces the fair market value of the property over which the easement or other property right runs, the property owner is entitled to just compensation from the cooperative.",Requires cooperatives to fairly compensate owners whose real property loses market value as a result of broadband infrastructure deployment through that property.
Arizona,2020,Ariz. Rev. Stat. 10-2121,Definition - Broadband,Speed 3,Definitions,"2. ""Broadband service"" means providing access and transport to the internet, computer processing, information storage or protocol conversion at a download rate of at least twenty-five megabits per second and at an upload rate of at least three megabits per second.",Defines “broadband service” as internet access with a download rate of at least 25 megabits per second (Mbps) and an upload rate of at least 3 Mbps.
Arizona,2020,Ariz. Rev. Stat. 10-2122,Cooperatives,Electric,Purpose,"Nonprofit electric generation and transmission cooperative corporations may be organized under this article for the purpose of:...3. Directly or through an affiliate, providing broadband service to areas in which the cooperative provides electric energy services.",Authorizes electric generation and transmission cooperatives to provide broadband services in areas where they provide electric services.
Arizona,2020,Ariz. Rev. Stat. 10-2127,Rights-of-way,Easements,Powers of a generation and transmission cooperative,"A. A generation and transmission cooperative may:...17. Directly or through an affiliate, construct, operate, maintain, lease and license fiber optic cables and other facilities to provide broadband service over, under, across, on or along real property, personal property, rights-of-way, easements and licenses and other property rights that are owned, held or used by the cooperative, including easement or other property rights owned, held or used by the cooperative to provide electricity or other services.",Grants electric generation and transmission cooperatives the right to obtain easements to provide electric and broadband service.
Arizona,2020,Ariz. Rev. Stat. 10-2151,Other,,Expanded use for broadband; just compensation; notice,"A. For the purposes of providing broadband service, if a generation and transmission cooperative, directly or through its affiliate, expands the use of an existing easement or other property right that is owned, held or used by the cooperative to provide electricity or other services and the expanded use reduces the fair market value of the property over which the easement or other property right runs, the property owner is entitled to just compensation from the cooperative.",Requires cooperatives to fairly compensate owners whose real property loses market value as a result of broadband infrastructure deployment through that property.
Arizona,No Date,Ariz. Rev. Stat. 42-14401 et seq.,Other,,Telecommunications Companies,"A. On or before April 1 of each year each telecommunications company, under the oath of its chief officer in this state, shall make and file a statement with the department in a form prescribed by the department and containing:&para;1. The name and nature of the business of the company, whether an individual, association or corporation and under the laws of which state or country it is organized.&para;2. The location of its principal office.&para;3. The names and mailing addresses of its president, secretary, tax agent, auditor, treasurer, superintendent or general manager and the chief officer or managing agent in this state.&para;4. The par value and market value of its shares of stock.&para;5. A detailed schedule of the real property the company owns in this state including its location and valuation.&para;6. The total length of its lines in this state, including lines that are controlled or used under lease or otherwise and the number of miles of lines in each county.&para;7. A complete and correct inventory of all other personal property it owned in this state on the preceding January 1, where the property was located and its value.&para;8. The total gross receipts for the year ending January 1 from all sources and the portion of the receipts that was derived entirely in this state.&para;9. The operating expenses for the year ending January 1, itemized or divided as required by the department.&para;10. The amount that was paid in dividends and the percentage the dividends bear to its capital...A. On or before August 31 of each year, the department shall determine the valuation as of January 1 of the property of all telecommunications companies operating in this state at its full cash value. Real estate shall be valued at market value, and personal property shall be valued on a unitary basis at its cost less depreciation. In addition, the taxpayer may submit documentation showing the need for, and the department shall consider, an additional adjustment to recognize obsolescence using standard appraisal methods and techniques.",Outlines annual statement and property valuation requirements for telecommunications companies operating in the state.
Arkansas,2020,Ark. Act 139,Legislative Intent,,Legislative findings and intent,"(a) The General Assembly finds that: (1) Generally, local entities do not budget for or have funds available for broadband due-diligence business studies in connection with 8 making application for federal grants or loans for broadband development programs; (2) In order to spur further development of broadband in rural Arkansas, it is necessary for local entities to conduct due-diligence business studies before application for federal grants or loans for broadband development programs; (3) Expenses associated with broadband due-diligence business studies can be burdensome to rural Arkansas communities, and it is in the best interest of all Arkansans to make this investment; (4) Under current Arkansas law, only certain eligible 18 telecommunications carriers have benefitted from the Arkansas High Cost Fund, which underwrites broadband deployment; and (5) It is necessary to provide funds to local entities to further wide-spread broadband deployment, particularly in unserved and underserved rural Arkansas, and to determine the feasibility of broadband deployment for local entities that currently do not have federally-defined broadband services and where these broadband due-diligence business studies have not been conducted before. (b) It is the intent of the General Assembly to provide funds to local entities to defray expenses for broadband due-diligence business studies in connection with preparation for federal grant and loan applications for broadband development programs administered by the Federal Communications Commission, the United States Department of Agriculture, or other federal agency to spur federally-defined broadband development in rural Arkansas. The provisions of this section shall be in effect only from July 1, 2020 through June 30, 2021. ","States that the General Assembly finds that local entities do not have budgets to conduct due-diligence studies before applying for federal broadband development grants or loans, and intends to provide municipalities with funds to defray those costs. "
Arkansas,2020,Ark. Code 19-5-1154,Fund - Broadband,,Rural Broadband I.D. Expenses Trust Fund - Creation - Purpose - Definitions,"(a) There is created on the books of the Treasurer of State, the Auditor of State, and the Chief Fiscal Officer of the State, a trust fund to be known as the “Rural Broadband I.D. Expenses Trust Fund”.&para;(b) The Rural Broadband I.D. Expenses Trust Fund shall be used for one-time grants for the defrayment of expenses for broadband due-diligence business studies incurred by prospective federal broadband program applicants, in anticipation of and before application for funding from:",Creates the Rural I.D. Expenses Trust Fund to defray the costs incurred for local due-diligence feasibility studies of prospective federal broadband grant applicants.
Arkansas,2020,Ark. Act 139,Agency,,Management of Rural Broadband I.D. Expenses Trust Fund Grant Application Process,"(a) The Institute for Digital Health and Innovation of the University of Arkansas for Medical Sciences shall manage the Rural Broadband I.D. Expenses Trust Fund grant application process for local entities. (b) The Institute for Digital Health and Innovation shall: (1) Determine Rural Broadband I.D. Expenses Trust Fund grantees; (2) Promulgate rules necessary to implement this act; (3)(A) Determine the amount of the Rural Broadband I.D. Expenses Trust Fund grant funds disbursed to an applicant. (B) An applicant may be a prospective and qualified applicant for a federal grant or loan for a broadband development program under the federal regulations promulgated by the Federal Communications Commission, the United States Department of Agriculture, or other federal agency; (4) Make the determination if the grants shall be awarded; and (5) Inform the Treasurer of State when a determination is made for the awarding of Rural Broadband I.D. Expenses Trust Fund grants. ",Instructs the University of Arkansas for Medical Sciences’ Institute for Digital Health and Innovation to oversee the management of the Rural I.D. Expenses Trusts Fund grant application process.
California,2019,Calif. EDC Code 17072.35,Fund - Other,Schools and Libraries,New Construction Funding Process,"A grant for new construction may be used for any and all costs necessary to adequately house new pupils in any approved project, and those costs may only include the cost of design, engineering, testing, inspection, plan checking, construction management, site acquisition and development, evaluation and response action costs relating to hazardous substances at a new or existing schoolsite, demolition, construction, acquisition and installation of portable classrooms, landscaping, necessary utility costs, utility connections and other fees, equipment including telecommunication equipment to increase school security, furnishings, and the upgrading of electrical systems or the wiring or cabling of classrooms in order to accommodate educational technology. A grant for new construction may also be used to acquire an existing government or privately owned building, or a privately financed school building, and for the necessary costs of converting the government or privately owned building for public school use. A grant for new construction may also be used for the costs of designs and materials that promote the efficient use of energy and water, the maximum use of natural lighting and indoor air quality, the use of recycled materials and materials that emit a minimum of toxic substances, the use of acoustics conducive to teaching and learning, and other characteristics of high performance schools.",Allows the 2020 State School Facilities Fund to support site-based broadband infrastructure as part of new school construction projects.
California,2019,Calif. EDC Code 17074.25,Fund - Other,Schools and Libraries,Modernization Apportionment,"(a) A modernization apportionment may be used for an improvement to extend the useful life of, or to enhance the physical environment of, the school. The improvement may only include the cost of design, engineering, testing, inspection, plan checking, construction management, demolition, construction, the replacement of portable classrooms, necessary utility costs, utility connection and other fees, the purchase and installation of air-conditioning equipment and insulation materials and related costs, furniture and equipment, including telecommunication equipment to increase school security, fire safety improvements, playground safety improvements, the identification, assessment, or abatement of hazardous asbestos, seismic safety improvements, and the upgrading of electrical systems or the wiring or cabling of classrooms in order to accommodate educational technology. A modernization grant may not be used for costs associated with acquisition and development of real property or for routine maintenance and repair.",Allows the 2020 State School Facilities Fund to support site-based broadband infrastructure as part of school modernization projects.
California,2020,Calif. PUC Code 281,Definition - Unserved,,Advisory Boards,"(B) (i) Except as provided in clause (ii), for purposes of this section, “unserved household” means a household for which no facility-based broadband provider offers broadband service at speeds of at least 6 megabits per second (mbps) downstream and one mbps upstream. ",Defines an “unserved household” as having no facility-based broadband provider that offers service with download speeds of at least 6 megabits per second (Mbps) and upload speeds of 1 Mbps.
California,2020,Calif. PUC Code 281,Goal,,Advisory Boards,"The goal of the program is, no later than December 31, 2022, to approve funding for infrastructure projects that will provide broadband access to no less than 98 percent of California households in each consortia region, as identified by the commission on or before January 1, 2017. The commission shall be responsible for achieving the goals of the program. ","Sets a goal for the California Advanced Services Fund program of supporting infrastructure projects sufficient to provide broadband access to at least 98% of households in each consortia region no later than Dec. 31, 2022; regions must be identified by the Public Utility Commission on or before Jan. 1, 2017. "
California,2020,Calif. PUC Code 281,Definition - Unserved,,Advisory Boards,"(ii) For projects funded, in whole or in part, from moneys received from the federal Rural Digital Opportunity Fund, “unserved household” means a household for which no facility-based broadband provider offers broadband service at speeds consistent with the standards established by the Federal Communications Commission pursuant to In the Matter of Rural Digital Opportunity Fund, WC Docket No. 19-126, Report and Order, FCC 20-5 (adopted January 30, 2020, and released February 7, 2020), or as it may be later modified by the Federal Communications Commission. ","For the purposes of the Rural Digital Opportunity Fund, defines an “unserved household” as having no facility-based broadband provider that offers service at speeds consistent with FCC standards, pursuant to In the Matter of Rural Digital Opportunity Fund, WC Docket No. 19-126, Report and Order, FCC 20-5. "
